1)

MariaDB [employee]> SELECT e.name AS employee, m.name AS manager FROM employees e LEFT JOIN employees m ON e.manager_id=m.id;

+-----------+----------+
| employee  | manager  |
| Maintenance      | Liam     |
| R&D              | Olivia   |
| Procurement      | Noah     |
| Health & Safety  | Ava      |
| Packaging        | William  |
| Inventory        | Sophia   |
| Welding          | Ethan    |
| Plant Management | Isabella |
+------------------+----------+
12 rows in set (0.001 sec)

3)

MariaDB [employee]> SELECT e.name, d.department_name FROM employees e INNER JOIN departments d WHERE e.department_id=d.id;
+-----------+------------------+
| name      | department_name  |
+-----------+------------------+
| James     | Assembly         |
| Scarlett  | Assembly         |
| Olivia    | Assembly         |
| Emma      | Assembly         |
| Ethan     | Assembly         |
| Mateo     | Assembly         |
| Scarlett  | Assembly         |
| Aiden     | Assembly         |
| Aiden     | Assembly         |
| Aiden     | Assembly         |
| Emma      | Assembly         |
| Ethan     | Assembly         |
| Logan     | Assembly         |
| Oliver    | Assembly         |
| Lucas     | Assembly         |
| David     | Assembly         |
| Maria     | Quality Control  |
| Scarlett  | Quality Control  |
| Charlotte | Quality Control  |
| Evelyn    | Quality Control  |
| Mason     | Quality Control  |
| Ava       | Quality Control  |
| Sophia    | Quality Control  |
| Noah      | Quality Control  |
| Abigail   | Quality Control  |
| Elijah    | Quality Control  |
| Grace     | Quality Control  |
| Abigail   | Quality Control  |
| Robert    | Machining        |
| Charlotte | Machining        |
| Evelyn    | Machining        |
| Mateo     | Machining        |
| Charlotte | Machining        |
| Zoe       | Machining        |
| Jackson   | Machining        |
| David     | Machining        |
| Mateo     | Machining        |
| Isabella  | Machining        |
| Lucas     | Machining        |
| Grace     | Machining        |
| Isabella  | Machining        |
| Emma      | Logistics        |
| Aiden     | Logistics        |
| Mason     | Logistics        |
| Amelia    | Logistics        |
| Amelia    | Logistics        |
| Harper    | Logistics        |
| Sebastian | Logistics        |
| Abigail   | Logistics        |
| Liam      | Logistics        |
| Abigail   | Logistics        |
| Amelia    | Logistics        |
| Jackson   | Logistics        |
| Joseph    | Logistics        |
| Liam      | Maintenance      |
| Elijah    | Maintenance      |
| Jackson   | Maintenance      |
| David     | Maintenance      |
| Mia       | Maintenance      |
| Ava       | Maintenance      |
| Mateo     | Maintenance      |
| Jackson   | Maintenance      |
| Mateo     | Maintenance      |
| Lucas     | Maintenance      |
| Olivia    | R&D              |
| Scarlett  | R&D              |
| Ava       | R&D              |
| Evelyn    | R&D              |
| Zoe       | R&D              |
| Sophia    | R&D              |
| James     | R&D              |
| Isabella  | R&D              |
| Joseph    | R&D              |
| Mia       | R&D              |
| Liam      | R&D              |
| Olivia    | R&D              |
| Jackson   | R&D              |
| Logan     | R&D              |
| Mason     | R&D              |
| Noah      | Procurement      |
| Ava       | Procurement      |
| Ella      | Procurement      |
| Grace     | Procurement      |
| Sophia    | Procurement      |
| Oliver    | Procurement      |
| Elijah    | Procurement      |
| Joseph    | Procurement      |
| Lucas     | Procurement      |
| David     | Procurement      |
| Harper    | Procurement      |
| Evelyn    | Procurement      |
| Aiden     | Procurement      |
| Ava       | Health & Safety  |
| Ella      | Health & Safety  |
| Scarlett  | Health & Safety  |
| Logan     | Health & Safety  |
| Logan     | Health & Safety  |
| Joseph    | Health & Safety  |
| Grace     | Health & Safety  |
| Joseph    | Health & Safety  |
| Emma      | Health & Safety  |
| Zoe       | Health & Safety  |
| Logan     | Health & Safety  |
| Evelyn    | Health & Safety  |
| Lucas     | Health & Safety  |
| David     | Health & Safety  |
| Ava       | Health & Safety  |
| Zoe       | Health & Safety  |
| Isabella  | Health & Safety  |
| Sophia    | Health & Safety  |
| Logan     | Health & Safety  |
| James     | Health & Safety  |
| Oliver    | Health & Safety  |
| Mia       | Health & Safety  |
| Jackson   | Health & Safety  |
| Noah      | Health & Safety  |
| William   | Packaging        |
| Jackson   | Packaging        |
| Olivia    | Packaging        |
| Mia       | Packaging        |
| Sophia    | Packaging        |
| Ella      | Packaging        |
| Mateo     | Packaging        |
| Isabella  | Packaging        |
| Sophia    | Packaging        |
| Olivia    | Packaging        |
| Emma      | Packaging        |
| Sophia    | Inventory        |
| Charlotte | Inventory        |
| Ava       | Inventory        |
| Evelyn    | Inventory        |
| Isabella  | Inventory        |
| Noah      | Inventory        |
| James     | Inventory        |
| Noah      | Inventory        |
| Liam      | Inventory        |
| Lucas     | Inventory        |
| Ella      | Inventory        |
| Ethan     | Inventory        |
| Charlotte | Inventory        |
| Mateo     | Inventory        |
| Mia       | Inventory        |
| Liam      | Inventory        |
| Ethan     | Welding          |
| Aiden     | Welding          |
| Joseph    | Welding          |
| Elijah    | Welding          |
| Ava       | Welding          |
| Amelia    | Welding          |
| Ella      | Welding          |
| Scarlett  | Welding          |
| Lucas     | Welding          |
| Ava       | Welding          |
| Grace     | Welding          |
| Emma      | Welding          |
| Scarlett  | Welding          |
| Joseph    | Welding          |
| Sophia    | Welding          |
| Ella      | Welding          |
| Emma      | Welding          |
| Isabella  | Plant Management |
| Mia       | Plant Management |
| Mia       | Plant Management |
| Abigail   | Plant Management |
| Amelia    | Plant Management |
| Grace     | Plant Management |
| Zoe       | Plant Management |
| Isabella  | Plant Management |
| Ethan     | Plant Management |
| Lucas     | Plant Management |
| Lucas     | Plant Management |
| Ella      | Plant Management |
| Mason     | Plant Management |
| Charlotte | Plant Management |
| Charlotte | Plant Management |
| Grace     | Plant Management |
+-----------+------------------+
176 rows in set (0.001 sec)

4)

MariaDB [employee]> SELECT name FROM employees WHERE ISNULL(manager_id);
+----------+
| name     |
+----------+
| James    |
| Maria    |
| Robert   |
| Emma     |
| Liam     |
| Olivia   |
| Noah     |
| Ava      |
| William  |
| Sophia   |
| Ethan    |
| Isabella |
| Omar     |
| Sherif   |
+----------+
14 rows in set (0.001 sec)

5)

MariaDB [employee]> SELECT name FROM employees WHERE ISNULL(department_id);
+-----------+
| name      |
+-----------+
| Mia       |
| Ava       |
| Oliver    |
| Omar      |
| Aiden     |
| Olivia    |
| Logan     |
| Mateo     |
| Sherif    |
| Sebastian |
| Ava       |
| Charlotte |
+-----------+
12 rows in set (0.001 sec)

6)

MariaDB [employee]> SELECT departments.department_name, COUNT(*) AS count FROM departments RIGHT JOIN employees ON departments.id=employees.department_id GROUP BY departments.department_name;
+------------------+-------+
| department_name  | count |
+------------------+-------+
| NULL             |    12 |
| Assembly         |    16 |
| Health & Safety  |    24 |
| Inventory        |    16 |
| Logistics        |    13 |
| Machining        |    13 |
| Maintenance      |    10 |
| Packaging        |    11 |
| Plant Management |    16 |
| Procurement      |    13 |
| Quality Control  |    12 |
| R&D              |    15 |
| Welding          |    17 |
+------------------+-------+
13 rows in set (0.001 sec)

7)

MariaDB [employee]>  SELECT e.name, e.salary, d.department_name FROM employees e INNER JOIN departments d WHERE ISNULL(e.manager_id) AND d.id=e.department_id;
+----------+--------+------------------+
| name     | salary | department_name  |
+----------+--------+------------------+
| James    |  95000 | Assembly         |
| Maria    |  92000 | Quality Control  |
| Robert   |  88000 | Machining        |
| Emma     |  91000 | Logistics        |
| Liam     |  85000 | Maintenance      |
| Olivia   | 110000 | R&D              |
| Noah     |  78000 | Procurement      |
| Ava      |  82000 | Health & Safety  |
| William  |  75000 | Packaging        |
| Sophia   |  84000 | Inventory        |
| Ethan    |  89000 | Welding          |
| Isabella | 125000 | Plant Management |
+----------+--------+------------------+
12 rows in set (0.001 sec)

8)

MariaDB [employee]> SELECT e.name FROM employees e INNER JOIN employees m WHERE e.salary > (SELECT m.salary WHERE e.manager_id=m.id);
+----------+
| name     |
+----------+
| Ella     |
| Scarlett |
+----------+
2 rows in set (0.020 sec)

